000000043 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000043 911   L $$aPShKo-DNC-LDNBG-040$$cאוסף שוש קורמוש
000000043 351   L $$cFile Record
000000043 24510 H $$aתצלומים - להקת המחול, יצירה לא ידועה
000000043 BAS   L $$aVIS
000000043 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000043 OWN   L $$aNNL
000000043 STA   L $$aSUPPRESSED
000000044 FMT   L MX
000000044 LDR   L 00000npc^a22^^^^^^^^4500
000000044 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000044 911   L $$aPShKo-DNC-LDNBG-041$$cאוסף שוש קורמוש
000000044 351   L $$cFile Record
000000044 24510 H $$aתצלומים - רקדנית לא ידועה
000000044 BAS   L $$aVIS
000000044 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000044 OWN   L $$aNNL
000000044 STA   L $$aSUPPRESSED
000000045 FMT   L MX
000000045 LDR   L 00000npc^a22^^^^^^^^4500
000000045 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000045 911   L $$aPShKo-DNC-LDNBG-042$$cאוסף שוש קורמוש
000000045 351   L $$cFile Record
000000045 24510 H $$aתצלומים - רקדנית לא ידועה
000000045 BAS   L $$aVIS
000000045 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000045 OWN   L $$aNNL
000000045 STA   L $$aSUPPRESSED
000000046 FMT   L MX
000000046 LDR   L 00000npc^a22^^^^^^^^4500
000000046 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000046 911   L $$aPShKo-DNC-LDNBG-043$$cאוסף שוש קורמוש
000000046 351   L $$cFile Record
000000046 24510 H $$aתצלומים - רקדנית לא ידועה
000000046 BAS   L $$aVIS
000000046 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000046 OWN   L $$aNNL
000000046 STA   L $$aSUPPRESSED
000000047 FMT   L MX
000000047 LDR   L 00000npc^a22^^^^^^^^4500
000000047 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000047 911   L $$aPShKo-DNC-LDNBG-044$$cאוסף שוש קורמוש
000000047 351   L $$cFile Record
000000047 24510 H $$aתצלומים - רקדנית לא ידועה
000000047 BAS   L $$aVIS
000000047 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000047 OWN   L $$aNNL
000000047 STA   L $$aSUPPRESSED
000000048 FMT   L MX
000000048 LDR   L 00000npc^a22^^^^^^^^4500
000000048 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000048 911   L $$aPShKo-DNC-LDNBG-045$$cאוסף שוש קורמוש
000000048 351   L $$cFile Record
000000048 24510 H $$aתצלומים - להקת המחול, יצירה לא ידועה
000000048 BAS   L $$aVIS
000000048 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000048 OWN   L $$aNNL
000000048 STA   L $$aSUPPRESSED
000000049 FMT   L MX
000000049 LDR   L 00000npc^a22^^^^^^^^4500
000000049 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000049 911   L $$aPShKo-DNC-LDNBG-046$$cאוסף שוש קורמוש
000000049 351   L $$cFile Record
000000049 24510 H $$aתצלומים - להקת המחול, יצירה לא ידועה
000000049 BAS   L $$aVIS
000000049 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000049 OWN   L $$aNNL
000000049 STA   L $$aSUPPRESSED
000000050 FMT   L MX
000000050 LDR   L 00000npc^a22^^^^^^^^4500
000000050 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000050 911   L $$aPShKo-DNC-LDNBG-047$$cאוסף שוש קורמוש
000000050 351   L $$cFile Record
000000050 24510 H $$aתצלומים - להקת המחול, יצירה לא ידועה
000000050 BAS   L $$aVIS
000000050 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000050 OWN   L $$aNNL
000000050 STA   L $$aSUPPRESSED
000000051 FMT   L MX
000000051 LDR   L 00000npc^a22^^^^^^^^4500
000000051 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000051 911   L $$aPShKo-DNC-LDNBG-048$$cאוסף שוש קורמוש
000000051 351   L $$cFile Record
000000051 24510 H $$aתצלומים - להקת המחול, יצירה לא ידועה
000000051 BAS   L $$aVIS
000000051 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000051 OWN   L $$aNNL
000000051 STA   L $$aSUPPRESSED
000000052 FMT   L MX
000000052 LDR   L 00000npc^a22^^^^^^^^4500
000000052 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000052 911   L $$aPShKo-DNC-LDNBG-049$$cאוסף שוש קורמוש
000000052 351   L $$cFile Record
000000052 24510 H $$aתצלומים - להקת המחול, יצירה לא ידועה
000000052 BAS   L $$aVIS
000000052 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000052 OWN   L $$aNNL
000000052 STA   L $$aSUPPRESSED
000000053 FMT   L MX
000000053 LDR   L 00000npc^a22^^^^^^^^4500
000000053 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000053 911   L $$aPShKo-DNC-LDNBG-050$$cאוסף שוש קורמוש
000000053 351   L $$cFile Record
000000053 24510 H $$aתצלומים - רקדנית לא ידועה
000000053 BAS   L $$aVIS
000000053 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000053 OWN   L $$aNNL
000000053 STA   L $$aSUPPRESSED
000000054 FMT   L MX
000000054 LDR   L 00000npc^a22^^^^^^^^4500
000000054 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000054 911   L $$aPShKo-DNC-LDNBG-051$$cאוסף שוש קורמוש
